Gait Up - Physilog data export
Created on: 2020-07-20 10:37:32
Total data points: 10837

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
68.31250,2.31934,-3.78418,-1.43433,-0.13782,-0.40885,0.90923,,-0.65239,-0.29831,-0.36350,-0.59437,
68.32031,2.41089,-3.57056,-1.19019,-0.13880,-0.41154,0.90947,,-0.65249,-0.29850,-0.36344,-0.59419,
68.32813,2.22778,-3.72314,-1.22070,-0.14052,-0.40689,0.90777,,-0.65260,-0.29869,-0.36337,-0.59402,
68.33594,2.25830,-3.57056,-1.25122,-0.14052,-0.41081,0.90485,,-0.65271,-0.29888,-0.36330,-0.59385,
68.34375,2.38037,-3.57056,-1.09863,-0.14346,-0.41081,0.90753,,-0.65281,-0.29907,-0.36324,-0.59368,
68.35156,2.31934,-3.66211,-1.25122,-0.14199,-0.40958,0.90485,,-0.65292,-0.29926,-0.36317,-0.59350,
68.35938,2.41089,-3.69263,-1.37329,-0.14126,-0.40787,0.90947,,-0.65304,-0.29946,-0.36311,-0.59331,
68.36719,2.34985,-3.72314,-1.31226,-0.14420,-0.40934,0.90826,,-0.65315,-0.29965,-0.36304,-0.59313,
68.37500,2.25830,-3.78418,-1.37329,-0.14052,-0.40664,0.90704,,-0.65327,-0.29984,-0.36297,-0.59295,
68.38281,2.25830,-3.84521,-1.49536,-0.14248,-0.40909,0.91069,,-0.65340,-0.30003,-0.36290,-0.59276,
68.39063,2.28882,-3.93677,-1.52588,-0.14126,-0.40689,0.90801,,-0.65353,-0.30022,-0.36282,-0.59256,
68.39844,2.28882,-3.87573,-1.43433,-0.13684,-0.41056,0.90850,,-0.65365,-0.30042,-0.36275,-0.59237,
68.40625,2.22778,-3.69263,-1.46484,-0.13610,-0.41056,0.90680,,-0.65377,-0.30060,-0.36268,-0.59219,
68.41406,2.22778,-3.78418,-1.40381,-0.13635,-0.40983,0.90972,,-0.65389,-0.30079,-0.36261,-0.59200,
68.42188,2.16675,-3.63159,-1.34277,-0.14027,-0.40689,0.91069,,-0.65401,-0.30097,-0.36254,-0.59183,
68.42969,2.25830,-3.75366,-1.55640,-0.13684,-0.40762,0.90972,,-0.65413,-0.30115,-0.36247,-0.59163,
68.43750,2.13623,-3.75366,-1.46484,-0.13267,-0.40615,0.90947,,-0.65426,-0.30134,-0.36240,-0.59145,
68.44531,1.98364,-3.57056,-1.43433,-0.13512,-0.40958,0.90874,,-0.65438,-0.30150,-0.36232,-0.59127,
68.45313,1.92261,-3.54004,-1.40381,-0.13905,-0.40689,0.90728,,-0.65450,-0.30167,-0.36225,-0.59110,
68.46094,1.95313,-3.66211,-1.31226,-0.13856,-0.41179,0.90777,,-0.65462,-0.30184,-0.36217,-0.59093,
68.46875,2.07520,-3.54004,-1.37329,-0.13978,-0.40762,0.90631,,-0.65474,-0.30201,-0.36210,-0.59076,
68.47656,2.10571,-3.50952,-1.40381,-0.13929,-0.41130,0.90558,,-0.65485,-0.30218,-0.36203,-0.59058,
68.48438,2.19727,-3.63159,-1.31226,-0.13684,-0.41179,0.90826,,-0.65497,-0.30237,-0.36196,-0.59040,
68.49219,2.22778,-3.66211,-1.43433,-0.13880,-0.41203,0.90582,,-0.65509,-0.30255,-0.36190,-0.59022,
68.50000,2.25830,-3.72314,-1.37329,-0.14003,-0.41007,0.91093,,-0.65520,-0.30274,-0.36183,-0.59003,
68.50781,2.22778,-3.66211,-1.40381,-0.13856,-0.40958,0.90631,,-0.65532,-0.30292,-0.36176,-0.58985,
68.51563,2.04468,-3.75366,-1.46484,-0.13856,-0.40762,0.90947,,-0.65545,-0.30310,-0.36168,-0.58967,
68.52344,2.07520,-3.75366,-1.43433,-0.13537,-0.40885,0.91020,,-0.65557,-0.30328,-0.36160,-0.58949,
68.53125,1.98364,-3.41797,-1.34277,-0.14027,-0.40492,0.90777,,-0.65568,-0.30344,-0.36154,-0.58932,
68.53906,1.95313,-3.41797,-1.31226,-0.13733,-0.40664,0.90874,,-0.65580,-0.30360,-0.36147,-0.58915,
68.54688,1.83105,-3.47900,-1.25122,-0.13537,-0.40787,0.91142,,-0.65591,-0.30376,-0.36139,-0.58899,
68.55469,1.95313,-3.38745,-1.34277,-0.13586,-0.40934,0.90680,,-0.65602,-0.30393,-0.36132,-0.58882,
68.56250,1.86157,-3.32642,-1.19019,-0.13929,-0.40909,0.90777,,-0.65613,-0.30408,-0.36125,-0.58866,
