Gait Up - Physilog data export
Created on: 2020-07-20 10:39:04
Total data points: 10810

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
67.82813,4.02832,-3.05176,-1.37329,0.08317,0.87856,0.34568,,0.19677,-0.50707,0.23790,0.80472,
67.83594,4.66919,-3.05176,-0.91553,0.08684,0.88836,0.34519,,0.19700,-0.50682,0.23812,0.80475,
67.84375,4.73022,-2.56348,-0.73242,0.09420,0.89989,0.34471,,0.19722,-0.50659,0.23836,0.80477,
67.85156,4.76074,-2.31934,-0.70190,0.09641,0.90161,0.34178,,0.19743,-0.50638,0.23860,0.80478,
67.85938,3.90625,-1.98364,-0.51880,0.09984,0.90798,0.33448,,0.19759,-0.50619,0.23881,0.80480,
67.86719,2.89917,-1.95313,-0.27466,0.10107,0.90994,0.33375,,0.19771,-0.50601,0.23897,0.80483,
67.87500,2.25830,-2.01416,-0.03052,0.09862,0.90823,0.32669,,0.19779,-0.50584,0.23910,0.80488,
67.88281,2.10571,-1.98364,0.12207,0.09543,0.91092,0.32645,,0.19786,-0.50567,0.23923,0.80493,
67.89063,2.13623,-2.28882,0.36621,0.09126,0.91485,0.32840,,0.19792,-0.50547,0.23937,0.80500,
67.89844,1.80054,-2.62451,0.48828,0.09518,0.91706,0.32280,,0.19797,-0.50526,0.23949,0.80509,
67.90625,1.31226,-2.44141,0.57983,0.09886,0.91656,0.32620,,0.19800,-0.50507,0.23959,0.80517,
67.91406,0.36621,-2.41089,0.82397,0.10647,0.91951,0.32207,,0.19797,-0.50488,0.23964,0.80528,
67.92188,-0.48828,-1.89209,1.00708,0.10867,0.91706,0.31817,,0.19790,-0.50474,0.23966,0.80538,
67.92969,-0.79346,-1.58691,0.97656,0.10794,0.90896,0.31720,,0.19782,-0.50461,0.23967,0.80548,
67.93750,-1.00708,-1.06812,0.79346,0.10352,0.90283,0.31720,,0.19773,-0.50452,0.23966,0.80556,
67.94531,-0.39673,-1.28174,0.82397,0.10524,0.89695,0.31817,,0.19766,-0.50441,0.23969,0.80564,
67.95313,-0.06104,-1.52588,0.82397,0.10622,0.89670,0.31963,,0.19761,-0.50428,0.23973,0.80572,
67.96094,0.67139,-1.58691,0.73242,0.10058,0.89670,0.32134,,0.19759,-0.50414,0.23981,0.80579,
67.96875,0.48828,-1.64795,0.51880,0.10205,0.89940,0.31549,,0.19757,-0.50400,0.23987,0.80586,
67.97656,0.30518,-1.43433,0.21362,0.09469,0.89940,0.31841,,0.19757,-0.50388,0.23991,0.80593,
67.98438,0.12207,-1.46484,0.15259,0.09003,0.89744,0.31817,,0.19756,-0.50376,0.23994,0.80599,
67.99219,-0.33569,-1.52588,0.18311,0.08488,0.89229,0.32231,,0.19753,-0.50365,0.23994,0.80607,
68.00000,-1.00708,-1.89209,0.39673,0.07875,0.88763,0.32231,,0.19748,-0.50352,0.23991,0.80617,
68.00781,-1.25122,-1.98364,0.45776,0.07801,0.88763,0.32134,,0.19741,-0.50338,0.23987,0.80629,
68.01563,-1.06812,-2.01416,0.97656,0.08415,0.88174,0.32547,,0.19733,-0.50324,0.23985,0.80640,
68.02344,-0.12207,-1.77002,1.22070,0.08562,0.88665,0.32669,,0.19726,-0.50309,0.23990,0.80650,
68.03125,0.54932,-2.04468,1.46484,0.08488,0.88346,0.33229,,0.19720,-0.50291,0.23999,0.80660,
68.03906,1.15967,-1.98364,1.64795,0.08954,0.88640,0.33399,,0.19715,-0.50273,0.24012,0.80668,
68.04688,1.15967,-1.73950,1.49536,0.09077,0.89695,0.33472,,0.19711,-0.50256,0.24024,0.80676,
68.05469,1.09863,-1.67847,1.34277,0.09175,0.89866,0.33497,,0.19707,-0.50240,0.24037,0.80684,
